"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.22513105338268e-52,0.755428300087991,0.377,0.292,6.89210506107879e-49,"0","SELPLG"
7.29407516865063e-51,0.656322328243791,0.466,0.396,1.55874386354064e-47,"0","CAST"
8.98347785999559e-51,0.683122531259864,0.455,0.378,1.91976921868106e-47,"0","ATRX"
4.63263985399068e-50,0.744235076824112,0.315,0.222,9.89995136797807e-47,"0","PRDM2"
1.67515289399399e-49,0.491576530280975,0.641,0.618,3.57980173446515e-46,"0","HNRNPU"
2.48998831719441e-49,0.679780059407725,0.408,0.324,5.32110503384446e-46,"0","FAM107B"
7.80074949317861e-49,0.397465617156449,0.705,0.684,1.66702016669227e-45,"0","HSP90AA1"
2.57565035524917e-46,0.602505174385601,0.527,0.477,5.50416480916749e-43,"0","SETX"
2.64385684602681e-45,0.597844046215084,0.413,0.329,5.64992207995929e-42,"0","EPB41"
3.81315275677714e-45,0.549369135301593,0.274,0.178,8.14870744123276e-42,"0","PCED1B-AS1"
1.74818916007644e-44,0.684451722936771,0.453,0.394,3.73588023508336e-41,"0","NIPBL"
2.45043672700074e-44,0.489806508775676,0.545,0.475,5.23658328560058e-41,"0","ZFP36L2"
7.3624840361655e-43,0.649600398060354,0.461,0.409,1.57336283852857e-39,"0","CCDC69"
1.74283321178024e-42,0.734212396149294,0.38,0.311,3.72443457357437e-39,"0","FAM49B"
5.69950361227426e-41,0.664733157270575,0.413,0.342,1.21798392194301e-37,"0","SETD2"
7.19258447645667e-40,0.60395310052921,0.444,0.386,1.53705530261879e-36,"0","HNRNPA3"
1.62856188987718e-39,0.53067944791583,0.268,0.177,3.48023675866754e-36,"0","CD2"
4.48345720962978e-39,0.729793764953925,0.332,0.26,9.58114805697885e-36,"0","UCP2"
1.15330971788748e-38,0.589692005974443,0.462,0.405,2.46462286712554e-35,"0","PNRC1"
1.3003716374658e-38,0.543132235259338,0.303,0.213,2.77889418926441e-35,"0","GOLGA8B"
4.4774233939904e-38,0.702145252408928,0.396,0.335,9.56825379295748e-35,"0","CREBBP"
4.69283581908128e-38,0.636154839658806,0.394,0.331,1.00285901453767e-34,"0","HMGB1"
1.56383307858986e-37,0.352644087445257,0.719,0.694,3.34191128894652e-34,"0","TPM3"
3.90765421322421e-37,0.557992896170968,0.507,0.463,8.35065705366013e-34,"0","PRKCB"
4.19152853664266e-37,0.599997994138507,0.412,0.347,8.95729648280537e-34,"0","ITGB1"
4.42229738736159e-37,0.318661938654436,0.765,0.759,9.45044951679172e-34,"0","H3F3B"
8.29380836196501e-36,0.338776575459154,0.752,0.73,1.77238684695192e-32,"0","MYL6"
9.33099417692659e-36,0.70500509436774,0.289,0.218,1.99403345560921e-32,"0","RAB27A"
2.25084384819635e-35,0.724105426188406,0.255,0.185,4.81005330359561e-32,"0","TGFB1"
4.18042438529425e-35,0.573651395100355,0.32,0.239,8.93356691137381e-32,"0","GIMAP7"
4.79883852466092e-35,0.627848621464424,0.372,0.307,1.02551179272004e-31,"0","SAMD9"
8.50754735027579e-35,0.599360495741666,0.385,0.314,1.81806286875394e-31,"0","TNRC6B"
1.32456892142199e-34,0.635249087686578,0.418,0.368,2.83060378507879e-31,"0","SH3KBP1"
4.48185515289345e-33,0.69671269603078,0.303,0.237,9.57772446173331e-30,"0","TERF2IP"
5.21718252632979e-33,0.633460518030317,0.335,0.265,1.11491190587668e-29,"0","TAF7"
1.39991075045917e-32,0.536792826298972,0.423,0.355,2.99160927373124e-29,"0","KMT2A"
6.05163106760268e-32,0.605134608464704,0.321,0.254,1.29323355914669e-28,"0","VCL"
6.23728019377295e-32,0.713329165890053,0.293,0.23,1.33290677740928e-28,"0","RAP2B"
2.97266105149684e-31,0.629231670618209,0.391,0.343,6.35257666704875e-28,"0","GUK1"
1.25734166329322e-30,0.558520555081941,0.408,0.349,2.6869391344576e-27,"0","CD63"
